INSERITO,SEGNALATO,MESE DI VENDITA,STORE,ARTISTA,TITOLO,QUANTITÀ,TIPO DI RISORSA,SPLIT,PAESE DI VENDITA,GUADAGNI (USD)
2026-02-24,2026-02-25,2026-02,Spotify,Gravity Well,Well Depth,140,Stream,55.00%,US,38900
2026-03-20,2026-03-21,2026-03,Spotify,Lyra Void,Dark Matter,165,Stream,50.00%,US,47500
2026-03-19,2026-03-20,2026-03,Apple Music,Solaris,Midnight Orbit,95,Stream,52.00%,GB,26800
2026-03-18,2026-03-19,2026-03,YouTube Music,Nebula,Gravity Pull,110,Stream,48.00%,DE,29400
2026-03-17,2026-03-18,2026-03,Spotify,Echo Waves,Retro Future,130,Stream,55.00%,US,35700
2026-03-16,2026-03-17,2026-03,Deezer,Crimson Tide,Storm Surge,55,Stream,45.00%,FR,14800
2026-03-15,2026-03-16,2026-03,Spotify,Velocity,Electric Youth,155,Stream,50.00%,US,44200
2026-03-14,2026-03-15,2026-03,SoundCloud,Luna Moth,Ancient Woods,80,Stream,40.00%,CA,21500
2026-03-13,2026-03-14,2026-03,Spotify,Phoenix Rise,Burning Sky,100,Stream,48.00%,US,24100
2026-03-12,2026-03-13,2026-03,Apple Music,Stellar Flare,Bright Horizon,115,Stream,52.00%,JP,31500
2026-03-11,2026-03-12,2026-03,Spotify,Frost Byte,Digital Blizzard,125,Stream,58.00%,US,35200
2026-03-10,2026-03-11,2026-03,Tidal,Neon Pulse,Neon Pulse,90,Stream,58.00%,CA,26100
2026-03-09,2026-03-10,2026-03,Spotify,Cyber Dawn,Cyber Dawn,120,Stream,55.00%,US,33400
2026-03-08,2026-03-09,2026-03,YouTube Music,Void Walker,Void Walker,85,Stream,50.00%,DE,22800
2026-03-07,2026-03-08,2026-03,Spotify,Crystal Echo,Crystal Echo,110,Stream,55.00%,US,30100
2026-03-06,2026-03-07,2026-03,Deezer,Iron Horizon,Iron Horizon,75,Stream,45.00%,FR,19800
2026-03-05,2026-03-06,2026-03,Spotify,Silent Orbit,Silent Orbit,95,Stream,50.00%,US,25400
2026-03-04,2026-03-05,2026-03,Apple Music,Quantum Beat,Quantum Beat,140,Stream,56.00%,JP,39600
2026-03-03,2026-03-04,2026-03,Spotify,Astral Plane,Astral Plane,120,Stream,54.00%,US,32800
2026-03-02,2026-03-03,2026-03,YouTube Music,Midnight Sun,Midnight Sun,105,Stream,52.00%,BR,28500
2026-03-01,2026-03-02,2026-03,Spotify,Gravity Well,Gravity Well,130,Stream,55.00%,US,36200
2026-03-25,2026-03-26,2026-03,iTunes,Lyra Void,Event Horizon,15,Purchase,70.00%,US,5600
2026-03-24,2026-03-25,2026-03,iTunes,Solaris,Cosmic Drift,10,Purchase,70.00%,US,3800
2026-03-23,2026-03-24,2026-03,iTunes,Nebula,Starlight Serenade,8,Purchase,70.00%,US,2900
2026-03-22,2026-03-23,2026-03,iTunes,Echo Waves,Neon Nights,12,Purchase,70.00%,US,4500
2026-03-21,2026-03-22,2026-03,iTunes,Crimson Tide,Ocean Depths,6,Purchase,70.00%,US,2200
2026-03-20,2026-03-21,2026-03,iTunes,Velocity,Digital Rush,14,Purchase,68.00%,US,5100
2026-03-19,2026-03-20,2026-03,iTunes,Luna Moth,Moonlit Path,5,Purchase,65.00%,US,1800
2026-03-18,2026-03-19,2026-03,iTunes,Phoenix Rise,From Ashes,9,Purchase,65.00%,US,3300
2026-03-17,2026-03-18,2026-03,iTunes,Stellar Flare,Shooting Star,11,Purchase,65.00%,US,4000
2026-03-16,2026-03-17,2026-03,iTunes,Frost Byte,Frozen Circuit,13,Purchase,65.00%,US,4700
2026-03-15,2026-03-16,2026-03,iTunes,Neon Pulse,Neon Pulse,10,Purchase,68.00%,US,3600
2026-03-14,2026-03-15,2026-03,iTunes,Cyber Dawn,Cyber Dawn,12,Purchase,68.00%,US,4300
2026-03-13,2026-03-14,2026-03,iTunes,Void Walker,Void Walker,7,Purchase,65.00%,US,2500
2026-03-12,2026-03-13,2026-03,iTunes,Crystal Echo,Crystal Echo,9,Purchase,65.00%,US,3200
2026-03-11,2026-03-12,2026-03,iTunes,Iron Horizon,Iron Horizon,8,Purchase,65.00%,US,2900
2026-03-10,2026-03-11,2026-03,iTunes,Silent Orbit,Silent Orbit,6,Purchase,65.00%,US,2100
2026-03-09,2026-03-10,2026-03,iTunes,Quantum Beat,Quantum Beat,11,Purchase,68.00%,US,3900
2026-03-08,2026-03-09,2026-03,iTunes,Astral Plane,Astral Plane,8,Purchase,65.00%,US,2800
2026-03-07,2026-03-08,2026-03,iTunes,Midnight Sun,Midnight Sun,7,Purchase,65.00%,US,2500
2026-03-06,2026-03-07,2026-03,iTunes,Gravity Well,Gravity Well,10,Purchase,68.00%,US,3500
2026-03-28,2026-03-29,2026-03,Amazon Music,Lyra Void,Dark Matter,85,Stream,50.00%,DE,23500
2026-03-27,2026-03-28,2026-03,Amazon Music,Solaris,Solar Wind,70,Stream,52.00%,DE,19200
2026-03-26,2026-03-27,2026-03,Amazon Music,Nebula,Cosmic Dust,90,Stream,48.00%,DE,24100
2026-03-25,2026-03-26,2026-03,Amazon Music,Echo Waves,Electric Pulse,95,Stream,50.00%,DE,26300
2026-03-24,2026-03-25,2026-03,Amazon Music,Crimson Tide,Rising Waters,50,Stream,45.00%,DE,13500
2026-03-23,2026-03-24,2026-03,Amazon Music,Velocity,Speed of Light,110,Stream,48.00%,DE,29800
2026-03-22,2026-03-23,2026-03,Amazon Music,Luna Moth,Silent Prayer,60,Stream,40.00%,DE,16200
2026-03-21,2026-03-22,2026-03,Amazon Music,Phoenix Rise,Reborn,80,Stream,48.00%,DE,21500
2026-03-20,2026-03-21,2026-03,Amazon Music,Stellar Flare,Golden Hour,85,Stream,50.00%,DE,23100
2026-03-19,2026-03-20,2026-03,Amazon Music,Frost Byte,Ice Cube,100,Stream,55.00%,DE,27400
